cashflow_date	target	GB00BPCJD880	GB00BL68HJ26	GB00BYZW3G56	GB00BNNGP668	GB00BL6C7720	GB00BPSNB460	GB00BDRHNP05	GB00B16NNR78	GB00BMBL1G81	GB00BSQNRC93	GB00BMF9LG83	GB00BFX0ZL78	GB0002404191	GB00BLPK7227	GB00BQC82B83	GB00BJMHB534	GB00BSQNRD01
2025-10-22	0.0	101.75	0.0	0.0	0.1875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8125	0.0	0.0	0.0	0.4375	0.0
2025-10-24	100.0	101.75	0.0	0.0	0.1875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8125	0.0	0.0	0.0	0.4375	0.0
2025-11-24	200.0	101.75	0.0	0.0	0.1875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8125	0.0	0.0	0.0	0.4375	0.0
2025-12-08	200.0	101.75	0.0	0.0	0.1875	0.0	0.0	0.0	2.125	0.0	0.0	2.25	0.8125	3.0	0.0	0.0	0.4375	0.0
2025-12-24	300.0	101.75	0.0	0.0	0.1875	0.0	0.0	0.0	2.125	0.0	0.0	2.25	0.8125	3.0	0.0	0.0	0.4375	0.0
2026-01-22	300.0	101.75	0.0	0.75	0.1875	0.0	0.0	0.625	2.125	0.0	0.0	2.25	0.8125	3.0	0.0	2.0625	0.4375	0.0
2026-01-24	400.0	101.75	0.0	0.75	0.1875	0.0	0.0	0.625	2.125	0.0	0.0	2.25	0.8125	3.0	0.0	2.0625	0.4375	0.0
2026-01-29	400.0	101.75	0.0	0.75	0.1875	2.0625	0.0	0.625	2.125	0.0	0.0	2.25	0.8125	3.0	0.0	2.0625	0.4375	0.0
2026-01-30	400.0	101.75	100.0625	0.75	0.1875	2.0625	0.0	0.625	2.125	0.0625	0.0	2.25	0.8125	3.0	0.25	2.0625	0.4375	0.0
2026-02-24	500.0	101.75	100.0625	0.75	0.1875	2.0625	0.0	0.625	2.125	0.0625	0.0	2.25	0.8125	3.0	0.25	2.0625	0.4375	0.0
2026-03-09	500.0	101.75	100.0625	0.75	0.1875	2.0625	1.875	0.625	2.125	0.0625	2.1875	2.25	0.8125	3.0	0.25	2.0625	0.4375	2.1875
2026-03-24	600.0	101.75	100.0625	0.75	0.1875	2.0625	1.875	0.625	2.125	0.0625	2.1875	2.25	0.8125	3.0	0.25	2.0625	0.4375	2.1875
2026-04-22	600.0	101.75	100.0625	0.75	0.375	2.0625	1.875	0.625	2.125	0.0625	2.1875	2.25	1.625	3.0	0.25	2.0625	0.875	2.1875
2026-04-24	700.0	101.75	100.0625	0.75	0.375	2.0625	1.875	0.625	2.125	0.0625	2.1875	2.25	1.625	3.0	0.25	2.0625	0.875	2.1875
2026-05-24	800.0	101.75	100.0625	0.75	0.375	2.0625	1.875	0.625	2.125	0.0625	2.1875	2.25	1.625	3.0	0.25	2.0625	0.875	2.1875
2026-06-08	800.0	101.75	100.0625	0.75	0.375	2.0625	1.875	0.625	4.25	0.0625	2.1875	4.5	1.625	6.0	0.25	2.0625	0.875	2.1875
2026-06-24	900.0	101.75	100.0625	0.75	0.375	2.0625	1.875	0.625	4.25	0.0625	2.1875	4.5	1.625	6.0	0.25	2.0625	0.875	2.1875
2026-07-22	900.0	101.75	100.0625	101.5	0.375	2.0625	1.875	1.25	4.25	0.0625	2.1875	4.5	1.625	6.0	0.25	4.125	0.875	2.1875
2026-07-24	1000.0	101.75	100.0625	101.5	0.375	2.0625	1.875	1.25	4.25	0.0625	2.1875	4.5	1.625	6.0	0.25	4.125	0.875	2.1875
2026-07-29	1000.0	101.75	100.0625	101.5	0.375	4.125	1.875	1.25	4.25	0.0625	2.1875	4.5	1.625	6.0	0.25	4.125	0.875	2.1875
2026-07-31	1000.0	101.75	100.0625	101.5	0.375	4.125	1.875	1.25	4.25	0.125	2.1875	4.5	1.625	6.0	0.5	4.125	0.875	2.1875
2026-08-24	1100.0	101.75	100.0625	101.5	0.375	4.125	1.875	1.25	4.25	0.125	2.1875	4.5	1.625	6.0	0.5	4.125	0.875	2.1875
2026-09-07	1100.0	101.75	100.0625	101.5	0.375	4.125	3.75	1.25	4.25	0.125	4.375	4.5	1.625	6.0	0.5	4.125	0.875	4.375
2026-09-24	1200.0	101.75	100.0625	101.5	0.375	4.125	3.75	1.25	4.25	0.125	4.375	4.5	1.625	6.0	0.5	4.125	0.875	4.375
2026-10-22	1200.0	101.75	100.0625	101.5	100.5625	4.125	3.75	1.25	4.25	0.125	4.375	4.5	2.4375	6.0	0.5	4.125	1.3125	4.375
2026-10-24	1300.0	101.75	100.0625	101.5	100.5625	4.125	3.75	1.25	4.25	0.125	4.375	4.5	2.4375	6.0	0.5	4.125	1.3125	4.375
2026-11-24	1400.0	101.75	100.0625	101.5	100.5625	4.125	3.75	1.25	4.25	0.125	4.375	4.5	2.4375	6.0	0.5	4.125	1.3125	4.375
2026-12-07	1400.0	101.75	100.0625	101.5	100.5625	4.125	3.75	1.25	6.375	0.125	4.375	6.75	2.4375	9.0	0.5	4.125	1.3125	4.375
2026-12-24	1500.0	101.75	100.0625	101.5	100.5625	4.125	3.75	1.25	6.375	0.125	4.375	6.75	2.4375	9.0	0.5	4.125	1.3125	4.375
2027-01-22	1500.0	101.75	100.0625	101.5	100.5625	4.125	3.75	1.875	6.375	0.125	4.375	6.75	2.4375	9.0	0.5	6.1875	1.3125	4.375
2027-01-24	1600.0	101.75	100.0625	101.5	100.5625	4.125	3.75	1.875	6.375	0.125	4.375	6.75	2.4375	9.0	0.5	6.1875	1.3125	4.375
2027-01-29	1600.0	101.75	100.0625	101.5	100.5625	106.1875	3.75	1.875	6.375	0.1875	4.375	6.75	2.4375	9.0	0.75	6.1875	1.3125	4.375
2027-02-24	1700.0	101.75	100.0625	101.5	100.5625	106.1875	3.75	1.875	6.375	0.1875	4.375	6.75	2.4375	9.0	0.75	6.1875	1.3125	4.375
